Temperature (C) ,Detuning (GHz) ,Laser Power (uW) ,Cost filtered (V/nT),Cost unfiltered (V/nT),Loop,Run_number,C(1D),A(1D),G(1D),By(1D),Error C(1D),Error A(1D),Error G(1D),Error By(1D),G1(2D),G2(2D),C(2D),A(2D),Bx(2D),Bz(2D),Error G1(2D),Error G2(2D),Error C(2D),Error A(2D),Error Bx(2D),Error Bz(2D),NA
99,12,881,0.000029,0.000029,7,122,1.485672,0.009165,315.115096,37.091353,0.00072,0.000844,62.964003,24.3368,151825.0485,184846.717,-312.379509,-310.88284,-13.90744,458.731904,NaN,NaN,NaN,NaN,23.96231,57.457968,NA
98,10,881,0.000177,0.000177,7,123,1.501506,0.018461,104.065263,-8.698596,0.000462,0.001654,15.652895,9.295862,1910.731786,794.521576,-1.512232,-0.010174,-11.518847,-82.824826,479.206472,89.976961,0.001219,0.001514,22.949532,19.113228,NA
85,10,1142,0.00012,0.00012,7,124,2.195097,0.013189,109.987695,-7.053616,0.000226,0.00077,10.890166,6.398101,1330.399477,1770.28926,-2.231562,-0.028941,14.170284,-146.087079,335.95474,429.834166,0.012952,0.013004,11.400193,18.160432,NA
84,12,907,0.000068,0.000068,7,125,1.801098,0.00839,123.088146,13.511809,0.000137,0.000425,10.803517,6.195326,580.48635,895.07734,-1.810956,-0.005337,-5.05059,91.412074,141.814215,145.643746,0.001405,0.001488,12.858111,22.357455,NA
98,10,907,0.000047,0.000047,7,126,1.534902,0.019851,419.034766,74.865105,0.000493,0.000472,20.355493,6.273304,422.554323,766.571067,-1.540618,-0.008511,-5.119356,400.634443,187.24223,191.882212,0.003215,0.003516,27.421468,63.314451,NA
106,11,997,0.00009,0.00009,7,127,1.355495,0.020953,233.285744,70.146975,0.000198,0.00032,7.288929,3.368415,1628.538807,1494.50285,-1.386569,-0.030876,-13.988733,149.035773,294.440576,244.544947,0.008664,0.008731,14.876188,17.890066,NA
84,12,881,0.000109,0.000109,7,128,1.750044,0.008021,73.854049,-8.799173,0.000112,0.000527,7.726653,4.852886,1004.841673,1033.34616,-1.760586,-0.006798,11.021215,-49.819991,191.079854,143.984607,0.001498,0.001564,13.896317,18.243681,NA
84,14,1104,0.000022,0.000022,7,130,2.110008,0.006971,313.39505,19.42196,0.000312,0.000367,35.782312,13.867096,1504.748954,1208.681935,-2.121812,-0.008717,-16.559839,251.164258,194.923995,109.299853,0.001211,0.001235,13.54926,16.244578,NA
86,11,877,0.000063,0.000063,7,131,1.705433,0.009066,144.23207,-30.343436,0.000163,0.000435,12.440277,6.856416,1128.695823,1903.244754,-1.737989,-0.025856,-13.586873,-173.280924,376.168864,607.479142,0.015564,0.015609,10.708722,21.611492,NA
85,12,907,0.000084,0.000084,7,132,1.79253,0.01023,122.511339,7.525034,0.00012,0.000373,7.741538,4.444249,1630.734685,1756.648671,-1.815103,-0.019064,-4.341428,54.180176,409.956731,429.795647,0.008472,0.008512,12.801122,15.869131,NA
86,11,1007,0.000107,0.000107,7,133,1.952134,0.011455,107.099324,6.08264,0.000129,0.000452,7.12936,4.210973,2094.082293,2641.340915,-2.009306,-0.053071,-15.40813,32.087522,1062.587144,1343.114858,0.051891,0.051938,11.066841,14.750248,NA
72,12,907,0.000007,0.000007,7,134,1.646394,0.012421,1775.855923,312.291169,0.008467,0.008353,854.764307,47.421016,108292.3155,102591.1935,-22.826536,-21.167411,-34.181559,198.890586,NaN,NaN,NaN,NaN,40.869438,47.715009,NA
85,13,997,0.000051,0.000051,7,135,1.936189,0.012096,238.76042,40.273864,0.000246,0.000386,15.720888,7.168952,1918.572464,1939.628455,-1.962155,-0.023857,4.211032,226.044501,321.663028,327.392241,0.007313,0.007321,11.666359,15.97375,NA
114,14,1174,0.000151,0.000151,7,137,1.334426,0.0296,196.368724,84.983253,0.000217,0.000424,5.480417,2.732752,1686.904499,2459.132698,-1.443922,-0.101676,-7.291203,167.961554,636.740512,929.821093,0.07374,0.073811,9.81231,17.271667,NA
86,11,877,0.0001,0.0001,7,138,1.704831,0.009305,93.270769,-19.018291,0.000236,0.000923,15.255129,9.224123,1858.101041,1709.020234,-1.730903,-0.020974,-0.574107,-106.52488,312.797388,279.556748,0.006089,0.006117,11.61918,13.273127,NA
86,12,1017,0.000063,0.000063,7,140,1.985525,0.012784,202.660811,-22.748193,0.000205,0.000386,12.056938,5.921151,4102.239308,5548.552499,-2.213741,-0.222079,9.746427,-231.626474,5773.71863,7918.624131,0.627614,0.627624,10.672838,19.162607,NA
125,12,1017,0.00021,0.00021,8,141,0.844489,0.034233,163.070522,119.410362,0.000151,0.000358,3.153804,1.681476,1562.135275,3606.842002,-1.031103,-0.177335,-5.315834,146.320464,2390.278184,5434.834252,0.527712,0.527824,10.612376,27.994934,NA
84,12,852,0.000098,0.000098,8,143,1.701643,0.006672,68.409329,-4.962435,0.000116,0.000573,9.246767,5.947941,935.385139,1030.923963,-1.712457,-0.006403,8.049648,-19.96478,166.633033,135.568683,0.001349,0.001407,12.153565,16.603609,NA
