"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","Cost filtered (V/nT)","Cost unfiltered (V/nT)","Loop","Run_number","C(1D)","A(1D)","G(1D)","By(1D)","Error C(1D)","Error A(1D)","Error G(1D)","Error By(1D)","G2(2D)"
"115.000000","7.000000","796.000000","0.006827","0.006827","8.000000","147.000000","0.712333","1.502037","220.005310","-12.283958","0.003231","0.005548","1.640004","0.777087","220.005310"
"115.000000","7.000000","796.000000","0.006959","0.006959","8.000000","148.000000","0.718570","1.515232","217.726127","-11.008628","0.003827","0.006645","1.921575","0.914798","217.726127"
"115.000000","7.000000","796.000000","0.006983","0.006983","8.000000","149.000000","0.700168","1.519718","217.630250","-11.590631","0.005036","0.008749","2.521064","1.200440","217.630250"
"115.000000","7.000000","796.000000","0.006831","0.006831","8.000000","150.000000","0.719222","1.506714","220.554364","-12.618749","0.004113","0.007041","2.081827","0.985319","220.554364"
"116.000000","7.000000","796.000000","0.007725","0.007725","8.000000","151.000000","0.640094","1.580785","204.628703","-11.063760","0.006739","0.012526","3.205030","1.567435","204.628703"
"115.000000","7.000000","796.000000","0.007043","0.007043","8.000000","152.000000","0.706153","1.519719","215.770453","-13.702425","0.003975","0.006973","1.986996","0.949802","215.770453"
"118.000000","9.000000","709.000000","0.008521","0.008521","8.000000","153.000000","0.623493","1.383505","162.366255","-12.961002","0.004603","0.010916","2.373531","1.263012","162.366255"
"115.000000","7.000000","796.000000","0.006999","0.006999","8.000000","154.000000","0.719132","1.507256","215.366979","-14.966704","0.005542","0.009740","2.791750","1.335616","215.366979"
"124.000000","-0.500000","874.000000","0.008952","0.008952","8.000000","155.000000","0.173209","1.843890","205.980064","-13.389810","0.012669","0.023381","5.172567","2.522752","205.980064"
"110.000000","7.000000","796.000000","0.004956","0.004956","8.000000","156.000000","1.072771","1.314695","265.254136","-16.253562","0.006207","0.008672","3.707461","1.596535","265.254136"
"120.000000","6.500000","796.000000","0.010435","0.010435","8.000000","157.000000","0.400530","1.869763","179.180429","-13.150583","0.007225","0.015481","2.823418","1.453482","179.180429"
"116.000000","7.000000","796.000000","0.007999","0.007999","8.000000","158.000000","0.642401","1.639335","204.942604","-13.938585","0.005858","0.010870","2.687276","1.313421","204.942604"
"121.000000","9.000000","748.000000","0.011163","0.011163","8.000000","159.000000","0.498615","1.702232","152.491500","-11.122427","0.005226","0.013194","2.154578","1.168657","152.491500"
"115.000000","7.000000","796.000000","0.007171","0.007171","8.000000","160.000000","0.720599","1.566972","218.525222","-13.515048","0.005590","0.009669","2.716323","1.291053","218.525222"
