"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
142.5,13,1720,161.12,0.092332,3.2568,-38.093,5.3515,7.581e-05,0.00030157,3.4483,0.0014937,0.009942,3.4708,3.2157,-13.882,-642.17,410.6,18190,0.0012156,0.001747,1.3414,12.201,4.4387e-13
142.5,13,1840,177.68,0.081473,3.7272,-39.787,7.3609,0.00012939,0.00044664,4.6356,-0.0016642,-0.0097628,3.9552,3.621,-14.332,-645.38,542.81,18682,0.0016205,0.0024021,1.6621,13.653,4.6495e-13
142.5,13,1960,193.6,0.069118,4.2789,-44.246,8.6181,0.00019515,0.00056145,5.0271,0.00023886,0.0012436,4.4883,4.0407,-16.436,-651.92,37.864,1026.3,0.002106,0.0032318,1.9709,16.253,5.1982e-13
142.5,13,2080,216.6,0.026154,4.8555,-44.912,10.389,0.00028521,0.00072136,5.9461,0.0027745,0.013226,5.0467,4.4511,-13.096,-693.34,1683.7,38253,0.0026735,0.0042063,2.3947,14.964,5.5099e-13
142.5,13,2200,225.44,0.013965,4.9994,-73.419,11.842,0.00040632,0.00066978,4.4873,-0.002003,-0.0072729,5.2001,4.465,-12.874,-697.3,1216.2,16031,0.0029447,0.0050565,3.6564,16.246,2.7528e-12
142.5,15,1000,101.69,0.12515,0.97624,-13.807,0.76574,1.119e-06,1.623e-05,0.86226,0.00033763,0.0039328,1.0813,0.96342,-16.232,-447.45,11.56,1568.4,7.3247e-05,9.3656e-05,0.40681,7.9302,1.0892e-12
142.5,15,1120,108.71,0.14323,1.2831,-18.721,0.84229,2.1142e-06,2.2636e-05,0.8139,0.00051928,0.0054304,1.4381,1.3021,-15.521,-495.17,30.184,3300.6,0.00014017,0.00018264,0.49419,7.9343,8.0323e-13
142.5,15,1240,116.73,0.16117,1.6029,-23.054,0.92404,3.5631e-06,3.0003e-05,0.79652,-0.00088274,-0.0084025,1.8017,1.6425,-15.398,-541.6,83.825,7595,0.00023472,0.00031118,0.60455,8.7795,6.7641e-13
142.5,15,1360,129.53,0.17386,1.956,-22.458,1.1475,6.0517e-06,4.7178e-05,1.0238,0.00083013,0.0069236,2.1811,1.9953,-15.315,-546.27,92.031,6401.6,0.00036387,0.00049502,0.75248,9.5032,5.4639e-13
142.5,15,1480,141.41,0.18854,2.3071,-24.829,1.688,1.1854e-05,7.7781e-05,1.4311,-0.00022734,-0.0016815,2.5669,2.3468,-17.236,-554.76,11.487,628.31,0.00052457,0.00073319,0.95508,11.593,5.0077e-13
