"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Run Number"
110,0,6133.333333,89.006,-0.13391,4.3923,6.5124,0.081557,2.8319e-05,4.2417e-05,0.012942,-0.00041562,-0.002153,4.2504,3.9965,4.6846,-282.06,10.346,277.61,0.0003787,0.00086707,0.31842,1.9642,75
110,0,6600,98.623,-0.14295,4.8468,7.008,0.14764,6.123e-05,7.5608e-05,0.020268,0.0010519,0.005344,4.6536,4.3055,5.5177,-285.88,58.918,1520.8,0.00049342,0.0011388,0.3756,2.3232,76
110,0,7066.666667,106.13,-0.14935,5.2196,6.424,0.20913,9.9489e-05,0.00010893,0.025582,0.00046208,0.0024018,5.0441,4.5938,4.8629,-323.62,12.83,346.64,0.00058559,0.0013361,0.36944,2.2603,77
110,0,7533.333333,115.93,-0.14655,5.6741,6.3601,0.33683,0.00018733,0.00018203,0.035381,0.0013583,0.0069529,5.4946,4.9039,4.2496,-331.68,130.64,3422.8,0.00076833,0.001762,0.42899,2.5424,78
110,0,8000,125.83,-0.11203,6.1318,5.4597,0.48402,0.00031196,0.00027887,0.043486,0.00060656,0.003215,6.044,5.2363,6.7978,-369.79,30.525,857.55,0.0010732,0.0024263,0.54779,3.6707,79
105,0,1000,-26.117,-0.0025322,0.37044,11.372,0.13621,6.1419e-07,1.0258e-05,0.050823,-2.5431,-15.361,0.35377,0.36422,2.3655,-36.565,0.053796,1.8514,2.3128e-06,3.378e-06,0.62104,2.6947,80
105,0,1466.666667,-19.699,0.0074259,0.67427,9.0962,0.012135,2.2455e-07,5.7296e-06,0.0048839,0.00031336,0.0014254,0.67306,0.6863,2.4248,-60.398,1.4588,30.184,3.1357e-06,7.8443e-06,0.11268,0.50874,81
105,0,1933.333333,27.582,0.015516,1.0362,9.5883,0.0097256,3.2999e-07,5.0518e-06,0.0035654,-0.00071969,-0.0028857,1.0435,1.0489,1.8181,-95.303,8.142,130.91,7.628e-06,2.0175e-05,0.12406,0.53258,82
105,0,2400,36.724,0.026393,1.4637,8.6975,0.011483,6.4297e-07,6.0388e-06,0.0037608,2.2397e-06,8.5037e-06,1.4794,1.4554,2.9058,-103.28,0.00020421,0.0029432,1.41e-05,3.8287e-05,0.12466,0.53653,83
105,0,2866.666667,46.885,0.046609,1.8968,9.3638,0.014843,1.2152e-06,7.1682e-06,0.0042666,0.00050668,0.0018458,1.9018,1.8321,2.3649,-140.01,11.673,154.91,2.8078e-05,7.7367e-05,0.1619,0.64017,84
105,0,3333.333333,55.977,0.066248,2.2634,8.1969,0.015469,1.6568e-06,6.7712e-06,0.0039377,0.00069565,0.0024641,2.3194,2.1809,2.3641,-148.71,13.354,167.57,4.4931e-05,0.00012552,0.18425,0.74463,85
105,0,3800,65.88,0.090434,2.6533,8.1051,0.030787,4.2473e-06,1.2178e-05,0.0068355,0.0010264,0.0036623,2.7472,2.5249,3.588,-185.06,37.238,474.05,6.961e-05,0.00019262,0.21388,0.86015,86
105,0,4266.666667,75.115,0.1273,2.9771,8.505,0.059737,9.942e-06,2.134e-05,0.011631,0.0012817,0.0045043,3.1289,2.8232,1.1303,-190.1,53.006,654.69,9.9008e-05,0.00027628,0.23694,0.95577,87
105,0,4733.333333,85.53,0.16596,3.3796,9.2144,0.11871,2.4609e-05,4.0015e-05,0.019856,0.0028387,0.0099853,3.5255,3.1041,4.463,-198.49,256.91,3178.8,0.00015241,0.0004231,0.31381,1.2903,88
105,0,5200,97.028,0.22396,3.7652,7.8766,0.18219,4.5717e-05,5.8131e-05,0.025635,-0.00055197,-0.001975,4.0012,3.4194,2.4105,-237.4,17.939,229.66,0.00020153,0.00055444,0.32373,1.3519,89
105,0,5666.666667,106.91,0.28619,4.1746,7.8783,0.31525,9.5808e-05,0.00010381,0.038133,0.0032349,0.011795,4.4647,3.7119,4.2174,-243.21,423.02,5623.5,0.00028596,0.0007743,0.39621,1.6754,90
105,0,6133.333333,117.9,0.36327,4.573,8.426,0.53101,0.00019139,0.00018257,0.054164,-0.043359,-0.16195,4.93,3.9823,10.126,-259.23,0.019436,0.27114,0.00028307,0.00051544,0.76928,3.0339,91
105,0,6600,127.1,0.45373,4.9233,7.1481,0.72632,0.0003014,0.00026734,0.064035,0.0030301,0.011482,5.3691,4.2326,3.955,-287.58,508.69,7304.7,0.00051504,0.0013639,0.52401,2.3008,92
105,0,7066.666667,135.29,0.56839,5.2137,8.6195,1.0085,0.00046675,0.00039683,0.078208,0.0027508,0.010788,5.7599,4.4266,3.3506,-327.28,532.94,8196.7,0.00064438,0.0016753,0.56967,2.5827,93
105,0,7533.333333,143.25,0.70028,5.4967,6.6775,1.1616,0.00059542,0.00049263,0.079167,-0.0026152,-0.010571,6.2229,4.6466,5.0358,-332.08,476.38,7782.7,0.00080727,0.0020663,0.66268,3.1705,94
105,0,8000,151.8,0.92884,5.8352,6.7837,1.5171,0.00087274,0.00071073,0.090188,-0.0016561,-0.0069997,6.8031,4.9135,4.6367,-372.47,208.17,3718.7,0.00098994,0.0024858,0.67832,3.3969,95
100,0,1000,-21.657,0.036588,0.49683,11.537,0.0084827,7.914e-08,1.7593e-06,0.0033369,0.0014038,0.0045347,0.55016,0.51715,1.3563,-44.954,206.68,2156.8,2.9016e-06,8.6476e-06,0.2547,0.78885,96
100,0,1466.666667,27.245,0.083565,0.86574,11.231,0.0042243,1.0093e-07,1.5761e-06,0.001555,0.0019689,0.0052183,0.93704,0.85621,1.7171,-60.196,61.223,430.07,2.9366e-06,9.759e-06,0.10641,0.3123,97
100,0,1933.333333,38.188,0.14888,1.2083,10.733,0.0074005,2.7579e-07,2.4124e-06,0.0023798,-0.00050293,-0.0012922,1.3622,1.2015,2.2966,-93.871,23.397,154.47,6.8525e-06,2.3033e-05,0.12808,0.38191,98
100,0,2400,49.878,0.24028,1.587,10.725,0.021028,1.168e-06,6.0793e-06,0.0058113,0.0046616,0.011625,1.8341,1.5523,2.6592,-104.19,242.33,1507.2,1.2108e-05,4.124e-05,0.13998,0.41695,99
100,0,2866.666667,61.653,0.34215,1.9272,10.6,0.064203,4.7893e-06,1.5896e-05,0.015127,-0.0040553,-0.010196,2.2721,1.8562,4.057,-138.15,264.45,1671.7,2.2756e-05,7.6582e-05,0.18267,0.54101,100
100,0,3333.333333,73.228,0.45173,2.2621,9.5401,0.098897,9.574e-06,2.174e-05,0.01979,0.023931,0.061022,2.7328,2.1598,2.7814,-148.3,1056.7,6868.5,2.7987e-05,6.6621e-05,0.23569,0.68701,101
100,0,3800,83.899,0.57502,2.5905,9.5626,0.17447,2.1345e-05,3.613e-05,0.029897,0.0018372,0.0048747,3.1889,2.423,2.6571,-186.89,87.137,613.44,6.3925e-05,0.00020775,0.27842,0.87733,102
100,0,4266.666667,93.581,0.68532,2.8604,9.2498,0.25006,3.6442e-05,4.9569e-05,0.037091,0.0049877,0.013667,3.6005,2.6456,2.0964,-192.84,711.77,5344.4,8.7787e-05,0.00027858,0.30779,1.0295,103
100,0,4733.333333,104.95,0.82487,3.1888,8.7571,0.40604,7.2171e-05,8.0469e-05,0.050646,-0.0027043,-0.0074815,4.0267,2.8731,3.1629,-199.35,261.97,2005.1,0.00013096,0.00041436,0.3912,1.1982,104
100,0,5200,116.83,1.021,3.513,8.8505,0.60386,0.00012855,0.00012393,0.062658,0.004774,0.013787,4.56,3.1373,2.492,-238.93,905.31,7550.5,0.00017765,0.00054439,0.42009,1.4637,105
100,0,5666.666667,126.1,1.2003,3.8027,9.2927,0.86336,0.00021373,0.000191,0.077488,0.0034477,0.010456,5.0279,3.3217,6.2057,-247.99,513.57,4723.2,0.0002492,0.00074309,0.48053,1.9709,106
